transaction_id,transaction_amount,login_attempts,device_risk_score,transfer_frequency,anomaly_score,account_age_days,transaction_time_hour,failed_transactions_last_30d,avg_monthly_balance,daily_transaction_count,geo_distance_km,session_duration_minutes,transaction_velocity_score,payment_channel,authentication_type,card_present_flag,international_transaction_flag,suspicious_ip_flag,fraud_flag
1000001,17829.01,4,12,13,0.37,2354,22,25,112760.07,63,3189,92,71.8,POS Terminal,OTP,1,1,1,FALSE
1000002,16401.83,1,34.3,17,0.26,3181,17,15,118899.52,83,839,63,11.8,Web Banking,Biometric,0,0,1,FALSE
1000003,9678.29,8,67.8,39,0.15,1390,3,2,408168.98,9,3938,80,35.7,ATM,OTP,1,0,1,FALSE
1000004,19013.38,5,17.8,42,0.55,3716,16,6,80771.69,78,11111,11,74.8,Mobile App,OTP,1,1,0,FALSE
1000005,13834.95,3,88.9,63,0.24,4694,16,10,382265.32,17,3171,87,0,Mobile App,OTP,1,0,0,FALSE
1000006,17501.15,9,81.5,55,0.24,3842,12,0,204382.64,85,10126,99,43,Mobile App,Two-Factor Authentication,0,0,1,FALSE
1000007,5100.73,5,17.2,75,0.56,4836,8,18,460267.17,12,7930,97,50.6,Mobile App,OTP,1,0,0,FALSE
1000008,15157.16,7,46.6,34,0.42,1670,4,13,35075.91,63,3334,20,97.7,Mobile App,OTP,1,1,0,FALSE
1000009,22804.42,7,15.9,37,0.2,4674,11,13,62872.76,104,12063,20,73,Web Banking,Two-Factor Authentication,1,1,0,FALSE
1000010,244.04,1,84.5,61,0.38,4650,14,17,384661.12,17,6543,34,47.2,Web Banking,Two-Factor Authentication,0,1,1,FALSE
1000011,23123.75,1,17.8,7,0.2,829,4,19,29955.39,114,8191,42,38.7,Web Banking,Password Only,0,0,1,FALSE
1000012,723.17,12,47.6,57,0.2,875,22,5,64191.68,104,14131,40,68.7,Mobile App,Two-Factor Authentication,1,1,0,FALSE
1000013,5492.29,12,87.9,49,0.32,310,13,20,498567.49,66,5838,78,81.1,Mobile App,OTP,1,0,0,FALSE
1000014,2997.03,4,27.3,43,0.01,2777,22,6,98970.51,14,5341,72,67.8,Web Banking,OTP,1,1,1,FALSE
1000015,10083.69,12,15.1,44,0.74,1321,18,20,270799.98,64,7114,66,83,Mobile App,OTP,0,1,1,TRUE
1000016,19696.23,5,26.6,11,0.01,4546,17,3,393064.93,51,2635,86,9.3,Mobile App,OTP,1,0,0,FALSE
1000017,17245.87,7,39.4,8,0.9,1958,9,18,1635.69,67,3439,49,70.5,Mobile App,Password Only,1,1,1,TRUE
